"Farmer, Rancher, Fisher, Grower",http://www.ediblefeast.com/eddyawards/vote/2015/9343
Chef,http://www.ediblefeast.com/eddyawards/vote/2015/9344
Food Artisan,http://www.ediblefeast.com/eddyawards/vote/2015/9345
Drink Artisan,http://www.ediblefeast.com/eddyawards/vote/2015/9346
Home Cook,http://www.ediblefeast.com/eddyawards/vote/2015/9347
"Market, Specialty Shop",http://www.ediblefeast.com/eddyawards/vote/2015/9347
"Environment, Sustainability",http://www.ediblefeast.com/eddyawards/vote/2015/9349
Personal Essay,http://www.ediblefeast.com/eddyawards/vote/2015/9350
Gardening,http://www.ediblefeast.com/eddyawards/vote/2015/9351
Social Issue,http://www.ediblefeast.com/eddyawards/vote/2015/9352
Seasonal,http://www.ediblefeast.com/eddyawards/vote/2015/9353
Drink,http://www.ediblefeast.com/eddyawards/vote/2015/9356
Healthful,http://www.ediblefeast.com/eddyawards/vote/2015/9355
Preserving,http://www.ediblefeast.com/eddyawards/vote/2015/9354
Website,http://www.ediblefeast.com/eddyawards/vote/2015/9357
Video,http://www.ediblefeast.com/eddyawards/vote/2015/9358
Social Media,http://www.ediblefeast.com/eddyawards/vote/2015/9359
Cover,http://www.ediblefeast.com/eddyawards/vote/2015/9361
Feature or Story Photography,http://www.ediblefeast.com/eddyawards/vote/2015/9362
Recipe Photography,http://www.ediblefeast.com/eddyawards/vote/2015/9363
Illustration,http://www.ediblefeast.com/eddyawards/vote/2015/9364
